jittered_title,seed_title,onet_code,onet_name
Senior Software Quality Assurance Engineer (SQA) - Cloud Computing,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
"QA Engineer - Automated Testing (Python, Selenium)",Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Software Quality Assurance Engineer - Join Our Agile Team,Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
"Quality Assurance Engineer (SQA) - Mobile Apps (iOS, Android)",Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Lead SQA Engineer - Fintech Industry (Remote Opportunity),Software Quality Assurance Engineer (SQA Engineer),15-1253.00,Software Quality Assurance Analysts and Testers
Estimating Manager - Commercial Construction Projects,Cost Estimator,13-1051.00,Cost Estimators
"Senior Cost Estimator - MEP (Mechanical, Electrical, Plumbing)",Cost Estimator,13-1051.00,Cost Estimators
"Cost Estimator - Heavy Civil Construction (Highway, Bridge)",Cost Estimator,13-1051.00,Cost Estimators
Cost Estimating Specialist - Government Contracts,Cost Estimator,13-1051.00,Cost Estimators
Pre-Construction Cost Estimator - Luxury Residential,Cost Estimator,13-1051.00,Cost Estimators
Custom Upholsterer Sewer - Luxury Furniture Manufacturer,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Alterations Sewer - High-End Fashion Brand,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Custom Sewer - Interior Design Firm (Soft Goods),Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Sewer - Custom Drapery and Upholstery Studio,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Custom Sewing Specialist - Theatrical Costumes,Custom Sewer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Heavy Equipment Mechanic - Mobile Crane Repair (Field Service),Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Diesel Mechanic - Heavy Equipment (Mining Industry),Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Mobile Heavy Equipment Mechanic - 3rd Shift (Weekends Off),Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Heavy Equipment Repair Technician - Agricultural Machinery,Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Field Service Technician - Heavy Equipment (Construction Industry),Mobile Heavy Equipment Mechanic,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
Senior Design Editor - Fashion Publishing (Magazine),Design Editor,43-9031.00,Desktop Publishers
Design Editor - Digital Media (UX/UI Design),Design Editor,43-9031.00,Desktop Publishers
Assistant Design Editor - Book Publishing (Children's Books),Design Editor,43-9031.00,Desktop Publishers
